iter	Passed	Remaining
0	193	19190
1	241	11833
2	278	9007
3	302	7270
4	331	6305
5	360	5648
6	382	5087
7	409	4712
8	438	4429
9	464	4181
10	495	4005
11	518	3803
12	540	3620
13	561	3452
14	582	3302
15	605	3178
16	628	3066
17	650	2961
18	672	2866
19	694	2778
20	717	2698
21	738	2619
22	761	2550
23	784	2484
24	809	2427
25	832	2368
26	854	2309
27	876	2254
28	899	2201
29	921	2150
30	943	2100
31	966	2053
32	1005	2042
33	1028	1995
34	1050	1950
35	1073	1907
36	1096	1866
37	1118	1825
38	1141	1785
39	1163	1745
40	1186	1706
41	1208	1669
42	1231	1633
43	1255	1597
44	1278	1562
45	1301	1527
46	1324	1493
47	1347	1460
48	1372	1428
49	1395	1395
50	1419	1363
51	1442	1331
52	1466	1300
53	1488	1268
54	1511	1236
55	1533	1205
56	1556	1174
57	1580	1144
58	1603	1114
59	1626	1084
60	1648	1054
61	1671	1024
62	1694	994
63	1716	965
64	1739	936
65	1772	913
66	1797	885
67	1820	856
68	1844	828
69	1865	799
70	1887	770
71	1909	742
72	1932	714
73	1954	686
74	1976	658
75	1999	631
76	2021	603
77	2042	576
78	2064	548
79	2086	521
80	2109	494
81	2130	467
82	2151	440
83	2172	413
84	2194	387
85	2216	360
86	2237	334
87	2258	307
88	2280	281
89	2302	255
90	2324	229
91	2347	204
92	2370	178
93	2393	152
94	2416	127
95	2439	101
96	2461	76
97	2482	50
98	2504	25
99	2525	0
