admission_taken_True + parent_education_upto 10th,coaching_institute_fiitjee + parent_education_upto 10th,coaching_institute_nan + daily_study_hours,coaching_institute_nan + school_board_state,daily_study_hours + family_income_low,family_income_low + peer_pressure_level_low,family_income_mid + location_type_urban,parent_education_upto 10th + school_board_state,peer_pressure_level_low + peer_pressure_level_medium,admission_taken_True / family_income_mid,attempt_count / parent_education_upto 10th,coaching_institute_fiitjee / class_12_percent,coaching_institute_fiitjee / parent_education_pg,coaching_institute_local / school_board_state,daily_study_hours / admission_taken_True,daily_study_hours / family_income_low,daily_study_hours / jee_advanced_score,daily_study_hours / peer_pressure_level_low,daily_study_hours / peer_pressure_level_medium,family_income_low / admission_taken_True,family_income_low / mock_test_score_avg,family_income_mid / coaching_institute_fiitjee,jee_advanced_score / daily_study_hours,jee_main_score / parent_education_graduate,location_type_semi-urban / mock_test_score_avg,parent_education_graduate / location_type_urban,parent_education_pg / coaching_institute_local,parent_education_pg / peer_pressure_level_low,peer_pressure_level_low / class_12_percent,school_board_icse / coaching_institute_fiitjee,school_board_icse / coaching_institute_local,school_board_icse / parent_education_upto 10th,admission_taken_True * daily_study_hours,attempt_count * coaching_institute_local,attempt_count * peer_pressure_level_medium,class_12_percent * family_income_mid,class_12_percent * location_type_urban,coaching_institute_fiitjee * peer_pressure_level_low,coaching_institute_fiitjee * peer_pressure_level_medium,daily_study_hours * parent_education_graduate,family_income_mid * location_type_semi-urban,jee_advanced_score * jee_main_score,jee_advanced_score * school_board_icse,mock_test_score_avg * school_board_state,admission_taken_True - location_type_urban,admission_taken_True - parent_education_upto 10th,attempt_count - family_income_low,coaching_institute_fiitjee - family_income_mid,coaching_institute_fiitjee - location_type_semi-urban,coaching_institute_local - daily_study_hours,dropout
0.0,0.0,0.2608501663459925,1.0,1.2608501663459926,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608501663459925,-0.414436314205559,0.0,0.2608501663459925,0.0,1.2620621880296932,0.0,-2.412915967358988,0.0,1.2620621880296932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1.0075283371329782,0.0,0.0,0.0,0.0,0.0,0.0,1.4098270809764797,-0.0,0.7923539818280908,0.0,0.0,-2.007528337132978,0.0,-1.0,-0.2608501663459925,1
0.0,0.0,1.675699245272388,1.0,2.675699245272388,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.675699245272388,-1.307131575905927,0.0,1.675699245272388,0.0,3.967788418293027,0.0,-0.7650339249948385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1.0075283371329782,0.0,0.0,0.0,0.0,0.0,0.0,0.6959591510607394,-0.0,0.2520295677535668,0.0,0.0,-2.007528337132978,0.0,0.0,-1.675699245272388,1
0.0,1.0,-0.1433924276329775,1.0,0.8566075723670226,1.0,0.0,1.0,0.0,0.0,0.0,-1.4942579809449994,0.0,0.0,0.0,-0.1433924276329775,-0.1466039052225912,0.0,0.0,0.0,0.709589027683506,0.0,-6.821100696340134,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.7737962289356587,0.0,1.409266435903832,0.0,0.0,-0.0074720847598201,1.0,1.0,0.1433924276329775,1
1.0,1.0,1.4735779482829032,0.0,1.4735779482829032,0.0,2.0,0.0,1.0,1.0,0.0,-0.6658190514517631,0.0,0.0,1.4735779482829032,0.0,-0.7331364322610072,0.0,1.4735779482829032,0.0,-0.0,1.0,-1.3640026003290824,0.2115973797883395,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.4735779482829032,0.0,0.9925279152401798,-1.5019095620943606,-1.5019095620943606,0.0,1.0,1.4735779482829032,0.0,-0.4253031482952308,-0.0,-0.0,0.0,1.0,0.9925279152401798,0.0,1.0,-1.4735779482829032,0
0.0,1.0,1.0693353543039326,1.0,1.0693353543039326,1.0,0.0,1.0,1.0,0.0,0.0,-2.0750067802510834,1.0,0.0,0.0,0.0,11.42958962433208,1.0693353543039326,0.0,0.0,-0.0,0.0,0.0874922051331688,0.0,-0.0,0.0,0.0,1.0,-2.0750067802510834,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0666508953592266,0.0,-1.1046728551251443,0.0,0.0,-1.0075283371329782,1.0,1.0,-1.0693353543039326,0
0.0,0.0,-0.0423317791382349,0.0,-0.0423317791382349,0.0,1.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.026202487117136,0.0,-0.0423317791382349,0.0,0.0,0.0,-38.16431606395165,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,-0.0,-1.0075283371329782,-1.0075283371329782,-0.0,-0.8361718768683757,0.0,0.0,-0.0,0.0,0.7245992461104519,1.6155633985809918,0.0,-1.0,0.0,-1.0075283371329782,0.0,0.0,1.042331779138235,0
1.0,2.0,-0.951877615590918,0.0,-0.951877615590918,0.0,0.0,1.0,1.0,0.0,0.9925279152401798,1.9984283111214216,0.0,0.0,0.0,0.0,-4.138968425935008,0.0,-0.951877615590918,0.0,-0.0,0.0,-0.2416060953096293,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.9925279152401798,0.0,0.0,0.0,1.0,-0.0,0.0,0.0506748158613805,0.0,-0.0,0.0,-1.0,0.9925279152401798,1.0,1.0,0.951877615590918,0
0.0,0.0,0.6650927603249626,0.0,0.6650927603249626,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.6230545389911932,0.0,0.0,0.0,0.0,0.0,0.6161222411056798,0.0,2.734861813148866,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.9925279152401798,0.0,-0.1032496546012361,-0.0,0.0,0.0,0.0,1.0,-0.6550016560365709,0.0,0.0,0.0,0.0,0.9925279152401798,-1.0,-1.0,0.3349072396750374,0
2.0,1.0,-1.0529382640856604,0.0,-0.0529382640856603,1.0,0.0,1.0,0.0,0.0,-1.0075283371329782,0.0,0.0,0.0,-1.0529382640856604,-1.0529382640856604,-3.2035333497469862,0.0,0.0,1.0,0.4112107542579323,0.0,-0.3121553268920954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0529382640856604,-1.0075283371329782,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.5385498800968017,0.0,0.0,1.0,0.0,-2.007528337132978,0.0,0.0,2.05293826408566,0
1.0,1.0,0.9177443815618188,0.0,0.9177443815618188,0.0,1.0,0.0,0.0,1.0,0.0,-2.277010433852562,0.0,0.0,0.9177443815618188,0.0,-1.239050256609736,0.0,0.0,0.0,-0.0,1.0,-0.8070697654638962,0.229821565872704,-1.1563244060631337,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.9177443815618188,0.0,0.0,-0.439172339807008,-0.0,0.0,0.0,0.9177443815618188,1.0,-0.1702250975828224,-0.0,-0.0,1.0,1.0,0.9925279152401798,0.0,0.0,-0.9177443815618188,0
1.0,1.0,-0.6486956701066902,1.0,-0.6486956701066902,1.0,1.0,1.0,1.0,1.0,0.0,4.279155352845216,0.0,0.0,-0.6486956701066902,0.0,-1.2056942294558075,-0.6486956701066902,0.0,0.0,-0.0,1.0,-0.8293976827369837,0.0,-0.0,0.0,0.0,0.0,4.279155352845216,0.0,0.0,0.0,-0.6486956701066902,0.0,0.0,0.2336909781354628,0.0,1.0,0.0,-0.0,0.0,-0.0936308459899185,0.0,-0.0046666102724929,1.0,1.0,0.9925279152401798,0.0,1.0,0.6486956701066902,0
1.0,1.0,-0.3455137246224627,0.0,-0.3455137246224627,0.0,1.0,1.0,1.0,0.0,-1.0075283371329782,-0.0,0.0,0.0,0.0,0.0,0.1540271645326175,0.0,-0.3455137246224627,0.0,0.0,0.0,6.49236128597456,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,-1.0075283371329782,-0.0,-0.58473883672951,0.0,0.0,-0.0,0.0,1.8653441884512605,-2.243199929511752,0.0,-1.0,-1.0,-1.0075283371329782,0.0,0.0,0.3455137246224627,0
0.0,1.0,-0.3455137246224627,0.0,-0.3455137246224627,0.0,2.0,0.0,0.0,0.0,0.0,-0.6402177902429758,1.0,0.0,0.0,0.0,0.2032396734851684,0.0,0.0,0.0,-0.0,1.0,4.920299185941055,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.5619684664190283,-1.5619684664190283,0.0,0.0,-0.0,0.0,1.6354980719859709,-0.0,-0.0,-1.0,0.0,-1.0075283371329782,0.0,1.0,0.3455137246224627,0
1.0,0.0,1.119865678551304,0.0,2.119865678551304,1.0,1.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,1.119865678551304,1.119865678551304,-0.506898147862445,0.0,1.119865678551304,1.0,-2.222779426319388,0.0,-1.972782903660098,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.119865678551304,-0.0,-1.0075283371329782,-0.0,-1.335984114553327,0.0,0.0,0.0,0.0,-0.0664642076616639,-0.0,-0.0,0.0,1.0,-2.007528337132978,0.0,0.0,-1.119865678551304,0
1.0,0.0,-0.8508169670961755,1.0,0.1491830329038245,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0,1.0,-0.8508169670961755,-0.8508169670961755,-1.0101092455030771,0.0,-0.8508169670961755,1.0,0.4929255885364567,0.0,-0.989991928548241,-0.0493729649397606,0.4929255885364567,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.8508169670961755,-1.0075283371329782,-1.0075283371329782,-0.0,-0.0,0.0,0.0,-0.8508169670961755,0.0,-0.0415869436633772,0.0,2.028703770419174,1.0,1.0,-2.007528337132978,0.0,-1.0,1.850816967096176,0
